# 宇文逸 会話相手TOP30 + 相手別自称/呼称分布
rank	partner	lines	self(我/在下/弟子/晚辈/其他)	addr(主要呼称TOP3)
1	冷無情	400	我:155,弟子:8,在下:1,晚辈:1	大哥:91,你:13,姑娘:5
2	欧陽雪	391	我:217,某:1	你:99,姑娘:35,师兄:20
3	歩微月	339	我:106,某:2,在下:2,弟子:1	姑娘:61,你:37,前辈:10
4	莫問	327	我:183,弟子:2,在下:2	师兄:124,你:76,大师:15
5	冷鷹	306	我:151,晚辈:2,在下:2	你:51,姑娘:45,大师:20
6	李元興	295	我:103,在下:10,弟子:3,某:2	大哥:63,你:18,长老:6
7	飛蝎使-娜烏	266	我:108,在下:7,某:4,弟子:2	你:43,姑娘:18,大哥:4
8	呂仙児	259	我:88,为兄:5,弟子:2,晚辈:1	你:65,前辈:23,姑娘:9
9	瑶姫	237	我:107,某:2	你:93,师父:10,师兄:9
10	清虚道長	230	我:69,弟子:48,在下:1	师父:80,你:26,师兄:16
11	白錦	196	我:61,某:2,弟子:1	你:44,阁下:6,姑娘:4
12	滌罪僧	186	我:68,在下:2,某:2,弟子:2	大师:87,方丈:10,姑娘:6
13	江小彤	184	我:99	你:106,大哥:21,师兄:3
14	商葶苧	170	我:50,在下:20,某:1,晚辈:1	你:9,前辈:4,师父:3
15	藍孔雀	170	我:85,在下:4,某:2,晚辈:1	你:8,姑娘:7,大师:1
16	蓮芯	161	我:59,弟子:2,在下:2	你:55
17	莫棄	154	我:82	师兄:79,你:20,师父:8
18	司馬鈴	152	我:27,晚辈:2,在下:1,弟子:1	姑娘:12,你:11,前辈:5
19	清霄道長	152	弟子:54,我:32,为师:3,晚辈:1	师兄:11,你:9,师父:8
20	葉飛	128	我:30,弟子:2	大哥:25,你:7,师兄:5
21	上官虹	121	我:45,在下:3,为师:1	你:20,前辈:7,姑娘:6
22	欧陽衡	113	我:41,晚辈:3	你:15,姑娘:6,师兄:2
23	絶無心	110	我:48	大哥:37,你:9,师父:2
24	顧思帰	99	我:53,弟子:5,在下:3,某:3	你:11,大哥:5,前辈:1
25	白惟一	89	我:23	你:36,姑娘:1
26	燕未還	87	我:29,在下:4,弟子:2	大哥:9,前辈:6,你:4
27	江吟風	87	我:37,小弟:1	大侠:28,你:19,大哥:4
28	円悟	79	我:25,晚辈:18,弟子:2,在下:2	大师:19,师兄:13,方丈:7
29	肖寒光	75	我:19,在下:13,弟子:1	你:4,方丈:2,师兄:2
30	道微	73	弟子:32,我:12	师兄:1,师父:1,前辈:1
