namespace,zh_hans,ja
Book,三五斩妖剑,三五斬妖剣
Book,九转残篇,九転残篇
Book,云裳剑法,雲裳剣法
Book,云霄雷霆霹雳刀,雲霄雷霆霹靂刀
Book,五毒秘录,五毒秘録
Book,仙鹤迷踪拳,仙鶴迷蹤拳
Book,伤寒杂病论,傷寒雑病論
Book,你的日记,あなたの日記
Book,全真剑法,全真剣法
Book,全真天遁剑法,全真天遁剣法
Book,八仙指,八仙指
Book,八荒夺路逃,八荒奪路逃
Book,八门锁金刀,八門鎖金刀
Book,千刀万剐杀,千刀万剮殺
Book,南宫心法,南宮心法
Book,南宫武备论,南宮武備論
Book,南宫风流扇,南宮風流扇
Book,历战血书,歴戦血書
Book,同舟剑谱,同舟剣譜
Book,君子论剑,君子論剣
Book,唐门暗器总纲,唐門暗器総綱
Book,唐门药典,唐門薬典
Book,四平枪谱,四平槍譜
Book,备急千金要方,備急千金要方
Book,天师剑法,天師剣法
Book,太平圣惠方,太平聖恵方
Book,太白仙迹,太白仙跡
Book,太祖长拳,太祖長拳
Book,夺魄幽灵爪,奪魄幽霊爪
Book,孔夫子剑,孔夫子剣
Book,孙子兵法,孫子兵法
Book,宋词选集,宋詞選集
Book,崆峒玄兵锻法,崆峒玄兵鍛法
Book,巫山洞府九宝图,巫山洞府九寶図
Book,当世词选,当世詞選
Book,很是用力踢,つよつよ蹴り
Book,战神语录,戦神語録
Book,折纸集,折紙集
Book,拈花指法,拈花指法
Book,掷石问天,擲石問天
Book,揍狗拳,揍狗拳
Book,斩天黑翼双龙剑,斬天黒翼双龍剣
Book,无为丹法,無為丹法
Book,无影爪,無影爪
Book,杨家练兵操,楊家練兵操
Book,松风剑法,松風剣法
Book,枯荣神功上卷,枯榮神功上巻
Book,柴刀八斩法,柴刀八斬法
Book,江湖鬼蜮录,江湖鬼蜮録
Book,江湖鬼蜮录．续,江湖鬼蜮録・続
Book,流星剑谱,流星剣譜
Book,混元童子气,混元童子炁
Book,清峰三十六路,清峰三十六路
Book,温阳活血符,温陽活血符
Book,火炎山锻谱,火炎山鍛譜
Book,点苍剑谱,点蒼剣譜
Book,点苍棒法,点蒼棒法
Book,烈火禅,烈火禅
Book,焚心火印,焚心火印
Book,玄烛心经,玄燭心経
Book,玄玄如意指,玄玄如意指
Book,登云踏．望月,登雲踏・望月
Book,白猿通臂拳,白猿通臂拳
Book,盘古开天破,盤古開天破
Book,罗汉拳谱,羅漢拳譜
Book,翻浪刀法,翻浪刀法
Book,苦恼拳,苦悩拳
Book,莲花落,蓮花落
Book,虎啸功,虎嘯功
Book,蛇兔鹰猿搏,蛇兎鷹猿搏
Book,蛇形拳,蛇形拳
Book,论语,論語
Book,证类本草,証類本草
Book,赤脚神通,赤脚神通
Book,逍遥游腿法,逍遥遊腿法
Book,逐浪诀,逐浪訣
Book,那由它劫指,那由它劫指
Book,酩酊玄剑掌,酩酊玄剣掌
Book,金刚腿,金剛腿
Book,金钟罩,金鐘罩
Book,铁琵琶功,鉄琵琶功
Book,铁臂神拳,鉄臂神拳
Book,阴阳夺,陰陽奪
Book,阿摩搪墙拳,阿摩搪牆拳
Book,难经,難経
Book,雪山心法,雪山心法
Book,雪山飞鸿爪,雪山飛鴻爪
Book,雪球教战守则,雪球教戦守則
Book,雷神脚,雷神脚
Book,飞天脚,飛天腳
Book,鸳鸯拳剑谱,鴛鴦拳剣譜
Book,龙吟功,龍吟功
Book,龙渊七绝,龍淵七絶
Book,龟息功,亀息功
CombatAction,一趾神通,一趾神通
CombatAction,保护云裳,雲裳を守る
CombatAction,反击,反撃
CombatAction,同舟剑法,同舟剣法
CombatAction,嘴攻,口功
CombatAction,备揍,防御
CombatAction,天罡伏魔剑,天罡伏魔剣
CombatAction,归元,帰元
CombatAction,打穴娟索,打穴絹索
CombatAction,抽人,鞭
CombatAction,指令,行動
CombatAction,捅人,攻撃
CombatAction,收势,収勢
CombatAction,暗器,暗器
CombatAction,枯荣神功,枯栄神功
CombatAction,核枣钉,核棗釘
CombatAction,点破云关,点破雲関
CombatAction,犯剑,犯剣
CombatAction,狮子吼,獅子吼
CombatAction,猿王回风,猿王旋風
CombatAction,石灰粉,石灰粉
CombatAction,神雷,神雷
CombatAction,第一极招,第一極招
CombatAction,第三极招,第三極招
CombatAction,第二极招,第二極招
CombatAction,绝影奇袭,絶影奇襲
CombatAction,绝招,必殺
CombatAction,舞剑,舞剣
CombatAction,苍龙吟,蒼龍吟
CombatAction,虎啸吼,虎嘯吼
CombatAction,追击,追撃
CombatAction,金刚神枪指,金剛神槍指
CombatAction,铁臂飞拳,鉄腕飛拳
